SAL_FROM,SAL_END,SAL_AMOUNT,EMP_ID
10/27/2001,10/25/2002,38010,83683
10/26/2000,10/26/2001,36900,83683
10/26/1999,10/25/2000,34170,83683
10/27/1998,10/26/1999,32540,83683
10/28/1997,10/26/1998,31590,83683
10/27/1996,10/27/1997,30670,83683
10/27/1995,10/26/1996,27880,83683
10/28/1994,10/27/1995,27070,83683
10/29/1993,10/27/1994,25780,83683
10/3/2013,  ,25000,84052
10/2/2012,10/2/2013,23810,84052
10/2/2011,10/1/2012,21650,84052
10/3/2010,10/2/2011,21020,84052
10/4/2009,10/2/2010,20020,84052
10/3/2008,10/3/2009,19440,84052
10/3/2007,10/2/2008,18870,84052
10/4/2006,10/3/2007,18320,84052
10/5/2005,10/3/2006,17790,84052
10/4/2004,10/4/2005,16940,84052
12/31/2013,  ,43800,84583
12/30/2012,12/30/2013,41710,84583
12/30/2011,12/29/2012,40500,84583
12/31/2010,12/30/2011,39320,84583
1/1/2010,12/30/2010,37450,84583
12/31/2008,12/31/2009,34050,84583
3/22/2013,  ,43250,83759
3/21/2012,3/21/2013,41990,83759
3/21/2011,3/20/2012,40770,83759
3/22/2010,3/21/2011,38830,83759
3/23/2009,3/21/2010,35950,83759
3/22/2008,3/22/2009,34240,83759
3/22/2007,3/21/2008,33240,83759
3/23/2006,3/22/2007,31660,83759
3/24/2005,3/22/2006,30740,83759
3/23/2004,3/23/2005,29840,83759
3/23/2003,3/22/2004,28420,83759
3/24/2002,3/23/2003,27070,83759
3/25/2001,3/23/2002,26280,83759
3/24/2000,3/24/2001,24330,83759
3/24/1999,3/23/2000,23620,83759
3/25/1998,3/24/1999,22930,83759
3/26/1997,3/24/1998,22260,83759
3/25/1996,3/25/1997,21200,83759
3/25/1995,3/24/1996,20580,83759
3/26/1994,3/25/1995,19980,83759
3/27/1993,3/25/1994,19030,83759
3/26/1992,3/26/1993,18120,83759
3/26/1991,3/25/1992,17260,83759
3/27/1990,3/26/1991,16760,83759
3/28/1989,3/26/1990,16270,83759
3/27/1988,3/27/1989,15500,83759
3/27/1987,3/26/1988,14760,83759
3/28/1986,3/27/1987,14330,83759
3/29/1985,3/27/1986,13910,83759
3/28/1984,3/28/1985,13250,83759
3/28/1983,3/27/1984,12270,83759
11/21/2013,  ,39000,84052
11/20/2012,11/20/2013,37860,84052
11/20/2011,11/19/2012,35060,84052
11/21/2010,11/20/2011,34040,84052
11/22/2009,11/20/2010,32420,84052
11/21/2008,11/21/2009,30880,84052
11/21/2007,11/20/2008,29410,84052
11/22/2006,11/21/2007,28550,84052
11/23/2005,11/21/2006,27720,84052
11/22/2004,11/22/2005,26400,84052
11/22/2003,11/21/2004,25140,84052
11/23/2002,11/22/2003,24410,84052
11/24/2001,11/22/2002,23250,84052
11/23/2000,11/23/2001,22570,84052
11/23/1999,11/22/2000,21910,84052
11/24/1998,11/23/1999,20870,84052
11/25/1997,11/23/1998,20260,84052
11/24/1996,11/24/1997,19300,84052
11/24/1995,11/23/1996,17870,84052
11/25/1994,11/24/1995,17350,84052
8/13/2013,  ,37750,84052
8/12/2012,8/12/2013,34950,84052
11/28/2013,  ,43250,84052
11/27/2012,11/27/2013,41190,84052
11/27/2011,11/26/2012,39990,84052
11/28/2010,11/27/2011,38830,84052
11/29/2009,11/27/2010,35300,84052
11/28/2008,11/28/2009,33620,84052
11/28/2007,11/27/2008,32640,84052
11/29/2006,11/28/2007,31690,84052
11/30/2005,11/28/2006,30770,84052
11/29/2004,11/29/2005,29300,84052
11/29/2003,11/28/2004,28450,84052
11/30/2002,11/29/2003,26340,84052
12/1/2001,11/29/2002,25090,84052
11/30/2000,11/30/2001,24360,84052
11/30/1999,11/29/2000,23200,84052
12/1/1998,11/30/1999,22520,84052
12/2/1997,11/30/1998,21450,84052
12/1/1996,12/1/1997,20430,84052
12/1/1995,11/30/1996,19830,84052
12/2/1994,12/1/1995,19250,84052
12/3/1993,12/1/1994,18690,84052
12/2/1992,12/2/1993,17800,84052
12/2/1991,12/1/1992,17280,84052
12/3/1990,12/2/1991,16780,84052
12/4/1989,12/2/1990,15980,84052
12/3/1988,12/3/1989,15510,84052
12/3/1987,12/2/1988,14100,84052
12/4/1986,12/3/1987,13690,84052
12/5/1985,12/3/1986,13290,84052
12/4/1984,12/4/1985,12660,84052
12/4/1983,12/3/1984,12290,84052
12/5/1982,12/4/1983,11700,84052
4/8/2012,4/8/2013,47330,84042
4/8/2011,4/7/2012,45950,84042
4/9/2010,4/8/2011,43760,84042
4/10/2009,4/8/2010,42490,84042
4/9/2008,4/9/2009,39340,84042
4/9/2007,4/8/2008,38190,84042
4/10/2006,4/9/2007,37080,84042
4/11/2005,4/9/2006,36000,84042
4/10/2004,4/10/2005,34950,84042
4/10/2003,4/9/2004,32360,84042
4/9/2013,  ,48750,84042
2/9/2013,  ,38080,84001
2/9/2012,2/8/2013,36970,84001
2/10/2011,2/9/2012,35210,84001
2/11/2010,2/9/2011,32600,84001
2/10/2009,2/10/2010,31650,84001
2/10/2008,2/9/2009,29310,84001
2/11/2007,2/10/2008,28460,84001
2/12/2006,2/10/2007,27100,84001
2/11/2005,2/11/2006,26310,84001
2/11/2004,2/10/2005,25540,84001
2/12/2003,2/11/2004,24320,84001
2/13/2002,2/11/2003,23160,84001
2/12/2001,2/12/2002,22060,84001
2/12/2000,2/11/2001,21420,84001
2/13/1999,2/12/2000,19830,84001
2/14/1998,2/12/1999,19250,84001
2/13/1997,2/13/1998,18690,84001
2/13/1996,2/12/1997,18150,84001
2/14/1995,2/13/1996,17290,84001
2/15/1994,2/13/1995,16790,84001
2/14/1993,2/14/1994,16300,84001
2/14/1992,2/13/1993,15830,84001
2/15/1991,2/14/1992,15080,84001
2/16/1990,2/14/1991,14360,84001
2/15/1989,2/15/1990,13940,84001
2/15/1988,2/14/1989,12910,84001
2/16/1987,2/15/1988,11950,84001
2/17/1986,2/15/1987,11600,84001
2/16/1985,2/16/1986,11050,84001
2/16/1984,2/15/1985,10730,84001
2/17/1983,2/16/1984,10420,84001
2/18/1982,2/16/1983,10120,84001
2/17/1981,2/17/1982,9830,84001
2/17/1980,2/16/1981,9540,84001
2/18/1979,2/17/1980,9260,84001
2/19/1978,2/17/1979,8990,84001
5/30/2013,  ,76360,83683
5/29/2012,5/29/2013,72720,83683
5/29/2011,5/28/2012,69260,83683
5/30/2010,5/29/2011,67240,83683
5/31/2009,5/29/2010,64040,83683
5/30/2008,5/30/2009,62170,83683
5/30/2007,5/29/2008,60360,83683
5/31/2006,5/30/2007,58600,83683
6/1/2005,5/30/2006,55810,83683
5/31/2004,5/31/2005,54180,83683
5/31/2003,5/30/2004,52600,83683
6/1/2002,5/31/2003,51070,83683
6/2/2001,5/31/2002,48640,83683
6/1/2000,6/1/2001,47220,83683
6/1/1999,5/31/2000,43720,83683
6/2/1998,6/1/1999,42450,83683
6/3/1997,6/1/1998,41210,83683
6/2/1996,6/2/1997,40010,83683
6/2/1995,6/1/1996,38840,83683
6/3/1994,6/2/1995,36990,83683
6/4/1993,6/2/1994,34250,83683
6/3/1992,6/3/1993,32620,83683
6/3/1991,6/2/1992,31070,83683
6/4/1990,6/3/1991,30170,83683
6/5/1989,6/3/1990,29290,83683
6/4/1988,6/4/1989,26630,83683
6/4/1987,6/3/1988,25850,83683
6/5/1986,6/4/1987,25100,83683
6/6/1985,6/4/1986,23900,83683
6/5/1984,6/5/1985,23200,83683
6/5/1983,6/4/1984,22520,83683
6/6/1982,6/5/1983,21860,83683
6/7/1981,6/5/1982,20820,83683
6/6/1980,6/6/1981,20210,83683
6/6/1979,6/5/1980,19250,83683
4/12/2013,  ,42750,84001
4/11/2012,4/11/2013,41500,84001
4/11/2011,4/10/2012,40290,84001
4/12/2010,4/11/2011,39120,84001
4/13/2009,4/11/2010,35560,84001
4/12/2008,4/12/2009,32930,84001
10/18/2013,  ,47250,84042
10/17/2012,10/17/2013,45870,84042
10/17/2011,10/16/2012,42470,84042
10/18/2010,10/17/2011,38610,84042
10/19/2009,10/17/2010,37490,84042
10/18/2008,10/18/2009,34710,84042
10/18/2007,10/17/2008,33060,84042
10/19/2006,10/18/2007,31490,84042
10/20/2005,10/18/2006,30570,84042
10/19/2004,10/19/2005,29110,84042
10/19/2003,10/18/2004,27720,84042
10/20/2002,10/19/2003,25670,84042
10/21/2001,10/19/2002,24450,84042
10/20/2000,10/20/2001,23740,84042
10/20/1999,10/19/2000,23050,84042
10/21/1998,10/20/1999,21950,84042
10/22/1997,10/20/1998,21310,84042
10/21/1996,10/21/1997,20690,84042
10/21/1995,10/20/1996,20090,84042
10/22/1994,10/21/1995,18260,84042
10/23/1993,10/21/1994,16910,84042
10/22/1992,10/22/1993,16420,84042
10/22/1991,10/21/1992,15940,84042
1/8/2014,  ,54900,84583
1/7/2013,1/7/2014,53300,84583
1/7/2012,1/6/2013,50760,84583
1/8/2011,1/7/2012,49280,84583
1/9/2010,1/7/2011,47840,84583
1/8/2009,1/8/2010,45560,84583
1/8/2008,1/7/2009,42190,84583
1/9/2007,1/8/2008,40180,84583
1/10/2006,1/8/2007,38270,84583
1/9/2005,1/9/2006,37160,84583
1/9/2004,1/8/2005,36080,84583
1/10/2003,1/9/2004,34360,84583
1/11/2002,1/9/2003,33360,84583
1/10/2001,1/10/2002,32390,84583
1/10/2000,1/9/2001,30850,84583
1/11/1999,1/10/2000,29950,84583
1/12/1998,1/10/1999,29080,84583
1/11/1997,1/11/1998,27700,84583
1/11/1996,1/10/1997,26890,84583
10/7/2013,  ,31750,83759
10/6/2012,10/6/2013,30830,83759
10/6/2011,10/5/2012,28550,83759
10/7/2010,10/6/2011,27720,83759
10/8/2009,10/6/2010,26400,83759
10/7/2008,10/7/2009,24440,83759
10/7/2007,10/6/2008,23730,83759
10/8/2006,10/7/2007,23040,83759
10/9/2005,10/7/2006,22370,83759
10/8/2004,10/8/2005,20340,83759
10/8/2003,10/7/2004,18830,83759
10/9/2002,10/8/2003,18280,83759
10/10/2001,10/8/2002,17750,83759
10/9/2000,10/9/2001,16900,83759
10/9/1999,10/8/2000,16410,83759
10/10/1998,10/9/1999,15630,83759
10/11/1997,10/9/1998,15170,83759
10/10/1996,10/10/1997,14730,83759
10/10/1995,10/9/1996,14300,83759
10/11/1994,10/10/1995,13880,83759
10/12/1993,10/10/1994,13220,83759
10/11/1992,10/11/1993,12830,83759
10/11/1991,10/10/1992,12220,83759
10/12/1990,10/11/1991,11860,83759
10/13/1989,10/11/1990,11510,83759
10/12/1988,10/12/1989,10960,83759
10/12/1987,10/11/1988,10640,83759
9/6/2013,  ,62000,84042
9/5/2012,9/5/2013,59050,84042
9/5/2011,9/4/2012,57330,84042
9/6/2010,9/5/2011,54600,84042
9/7/2009,9/5/2010,53010,84042
9/6/2008,9/6/2009,50490,84042
9/6/2007,9/5/2008,49020,84042
9/7/2006,9/6/2007,47590,84042
9/8/2005,9/6/2006,45320,84042
9/7/2004,9/7/2005,44000,84042
9/7/2003,9/6/2004,42720,84042
9/8/2002,9/7/2003,40690,84042
9/9/2001,9/7/2002,39500,84042
9/8/2000,9/8/2001,37620,84042
9/8/1999,9/7/2000,36520,84042
9/9/1998,9/8/1999,34780,84042
9/10/1997,9/8/1998,31620,84042
9/9/1996,9/9/1997,30700,84042
9/9/1995,9/8/1996,29240,84042
9/10/1994,9/9/1995,28390,84042
9/11/1993,9/9/1994,27040,84042
9/10/1992,9/10/1993,26250,84042
9/10/1991,9/9/1992,25000,84042
9/11/1990,9/10/1991,24270,84042
9/12/1989,9/10/1990,23560,84042
9/11/1988,9/11/1989,22870,84042
9/11/1987,9/10/1988,21780,84042
9/12/1986,9/11/1987,21150,84042
9/13/1985,9/11/1986,20530,84042
5/24/2012,5/24/2013,66860,83746
5/24/2011,5/23/2012,63680,83746
5/25/2010,5/24/2011,58960,83746
5/26/2009,5/24/2010,56150,83746
5/25/2008,5/25/2009,53480,83746
5/25/2007,5/24/2008,51920,83746
5/26/2006,5/25/2007,50410,83746
5/27/2005,5/25/2006,46680,83746
5/26/2004,5/26/2005,45320,83746
5/26/2003,5/25/2004,44000,83746
5/27/2002,5/26/2003,42720,83746
5/28/2001,5/26/2002,38840,83746
5/27/2000,5/27/2001,37710,83746
5/27/1999,5/26/2000,36610,83746
5/28/1998,5/27/1999,34870,83746
5/29/1997,5/27/1998,33210,83746
5/28/1996,5/28/1997,31630,83746
5/28/1995,5/27/1996,30120,83746
5/29/1994,5/28/1995,28690,83746
5/30/1993,5/28/1994,27850,83746
5/25/2013,  ,68870,83746
7/25/2013,  ,45250,84042
7/24/2012,7/24/2013,43930,84042
7/24/2011,7/23/2012,42650,84042
7/25/2010,7/24/2011,40620,84042
7/27/2013,  ,83700,83683
7/26/2012,7/26/2013,79710,83683
7/26/2011,7/25/2012,77390,83683
7/27/2010,7/26/2011,75140,83683
7/28/2009,7/26/2010,72950,83683
7/27/2008,7/27/2009,70830,83683
7/27/2007,7/26/2008,68770,83683
7/28/2006,7/27/2007,66770,83683
7/29/2005,7/27/2006,64830,83683
7/28/2004,7/28/2005,61740,83683
7/28/2003,7/27/2004,58800,83683
7/29/2002,7/28/2003,53450,83683
3/9/2013,  ,115320,84583
3/8/2012,3/8/2013,109830,84583
3/8/2011,3/7/2012,104600,84583
3/9/2010,3/8/2011,95090,84583
3/10/2009,3/8/2010,92320,84583
3/9/2008,3/9/2009,89630,84583
3/9/2007,3/8/2008,87020,84583
3/10/2006,3/9/2007,84490,84583
3/11/2005,3/9/2006,80470,84583
3/10/2004,3/10/2005,76640,84583
3/10/2003,3/9/2004,72990,84583
3/11/2002,3/10/2003,67580,84583
3/12/2001,3/10/2002,65610,84583
3/11/2000,3/11/2001,63700,84583
3/11/1999,3/10/2000,61840,84583
3/12/1998,3/11/1999,60040,84583
3/13/1997,3/11/1998,58290,84583
3/12/1996,3/12/1997,56590,84583
3/12/1995,3/11/1996,53900,84583
3/13/1994,3/12/1995,51330,84583
3/14/1993,3/12/1994,48890,84583
3/13/1992,3/13/1993,46560,84583
11/9/2013,  ,46250,83759
11/9/2010,11/8/2011,38840,83759
11/10/2009,11/8/2010,37710,83759
11/9/2008,11/9/2009,34280,83759
11/9/2007,11/8/2008,32650,83759
11/10/2006,11/9/2007,31700,83759
11/11/2005,11/9/2006,29350,83759
11/10/2004,11/10/2005,28500,83759
11/10/2003,11/9/2004,27670,83759
11/11/2002,11/10/2003,26860,83759
11/12/2001,11/10/2002,26080,83759
11/11/2000,11/11/2001,25320,83759
11/11/1999,11/10/2000,24580,83759
11/12/1998,11/11/1999,23860,83759
11/13/1997,11/11/1998,22720,83759
11/12/1996,11/12/1997,21640,83759
11/12/1995,11/11/1996,20610,83759
11/13/1994,11/12/1995,20010,83759
11/8/2012,11/8/2013,44050,83759
11/8/2011,11/7/2012,41950,83759
9/9/2013,  ,44250,84001
9/8/2012,9/8/2013,42140,84001
9/8/2011,9/7/2012,40910,84001
9/9/2010,9/8/2011,39720,84001
9/10/2009,9/8/2010,37830,84001
9/9/2008,9/9/2009,36730,84001
9/9/2007,9/8/2008,34980,84001
9/10/2006,9/9/2007,33960,84001
9/11/2005,9/9/2006,31440,84001
9/10/2004,9/10/2005,30520,84001
9/10/2003,9/9/2004,27750,84001
9/11/2002,9/10/2003,25230,84001
9/12/2001,9/10/2002,22940,84001
9/11/2000,9/11/2001,22270,84001
9/11/1999,9/10/2000,21620,84001
9/12/1998,9/11/1999,20590,84001
9/13/1997,9/11/1998,19610,84001
9/12/1996,9/12/1997,18680,84001
9/12/1995,9/11/1996,17790,84001
9/13/1994,9/12/1995,16940,84001
9/14/1993,9/12/1994,16450,84001
9/13/1992,9/13/1993,15230,84001
9/13/1991,9/12/1992,14790,84001
9/14/1990,9/13/1991,14360,84001
9/15/1989,9/13/1990,13940,84001
9/14/1988,9/14/1989,13530,84001
9/14/1987,9/13/1988,13140,84001
9/15/1986,9/14/1987,12170,84001
9/16/1985,9/14/1986,11270,84001
9/15/1984,9/15/1985,10440,84001
5/30/2013,  ,66240,83683
5/29/2012,5/29/2013,64310,83683
5/29/2011,5/28/2012,59550,83683
5/30/2010,5/29/2011,57820,83683
5/31/2009,5/29/2010,56140,83683
5/30/2008,5/30/2009,53470,83683
5/30/2007,5/29/2008,48610,83683
5/31/2006,5/30/2007,45010,83683
6/1/2005,5/30/2006,42870,83683
5/31/2004,5/31/2005,41620,83683
5/31/2003,5/30/2004,40410,83683
6/1/2002,5/31/2003,37420,83683
6/2/2001,5/31/2002,35640,83683
6/1/2000,6/1/2001,33940,83683
6/1/1999,5/31/2000,32950,83683
6/2/1998,6/1/1999,31990,83683
6/3/1997,6/1/1998,31060,83683
12/15/2013,  ,39000,84001
3/30/2013,  ,68080,83683
3/29/2012,3/29/2013,66100,83683
3/29/2011,3/28/2012,64170,83683
3/30/2010,3/29/2011,61110,83683
3/31/2009,3/29/2010,59330,83683
3/30/2008,3/30/2009,53940,83683
3/30/2007,3/29/2008,51370,83683
3/31/2006,3/30/2007,47560,83683
4/1/2005,3/30/2006,45300,83683
3/31/2004,3/31/2005,43980,83683
3/31/2003,3/30/2004,42700,83683
4/1/2002,3/31/2003,41460,83683
4/2/2001,3/31/2002,39490,83683
4/1/2000,4/1/2001,36560,83683
4/1/1999,3/31/2000,33850,83683
4/2/1998,4/1/1999,32240,83683
4/3/1997,4/1/1998,30700,83683
4/2/1996,4/2/1997,29810,83683
4/2/1995,4/1/1996,28390,83683
4/3/1994,4/2/1995,27040,83683
4/4/1993,4/2/1994,25750,83683
4/3/1992,4/3/1993,24520,83683
4/3/1991,4/2/1992,23810,83683
4/4/1990,4/3/1991,23120,83683
4/5/1989,4/3/1990,22450,83683
4/4/1988,4/4/1989,21380,83683
