BRAND_ID,BRAND_NAME,BRAND_TYPE,PROD_BASE,PROD_CATEGORY,PROD_DESCRIPT,PROD_MIN,PROD_PRICE,PROD_QOH,PROD_SKU,PROD_TYPE,VEND_CITY,VEND_ID,VEND_NAME,VEND_STATE,VEND_STREET,VEND_ZIP
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,"Fire Resistant Top Coat, for Interior Wood",10,78.49,120,1964-OUT,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
35,LE MODE,PREMIUM,Water,Top Coat,"Latex, Exterior Flat (MPI Gloss Level 1)",10,10.99,100,2006-ZBH,Exterior,Brookfield,10,Lambert Decor of New Hampshire,NH,1839 DEMEURE PLACE,3872
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Top Coat,Polyurethane Deck Coating (Slip-Resistant),35,25.99,137,2046-RUS,Exterior,Brookfield,10,Lambert Decor of New Hampshire,NH,1839 DEMEURE PLACE,3872
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,Graffiti Protection Top-Coat,10,16.99,145,2068-TSC,Exterior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Dry Fall, Latex, ('eggshell-like' - MPI Gloss Level 3)",10,13.99,60,2101-WCF,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Latex, Interior, Semi-Gloss (MPI Gloss Level 5) ",20,12.99,66,2116-PVN,Interior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
35,LE MODE,PREMIUM,Solvent,Top Coat,"Dry Fall, Alkyd, Flat",35,7.99,94,2129-BCP,Interior,Newport,16,National Solubles Partners,NC,1618 CARIN PLACE,28570
23,FORESTERS BEST,VALUE,Solvent,Top Coat,"Varnish, with UV Inhibitor, Exterior, Semi-Gloss (MPI Gloss Level 5)",25,15.89,34,2134-QFE,Exterior,Pine Hill,6,Pine Hill Chemical Warehouse,PA,1777 EASTWIND COURT,17901
35,LE MODE,PREMIUM,Solvent,Top Coat,"Alkyd, Quick Dry, Gloss",10,17.99,8,2143-VQX,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
31,VALU-MATTE,VALUE,Water,Primer,"Primer Sealer, Low Permeability, Latex, Interior",5,7.59,66,2200-DAI,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
27,HOME COMFORT,CONTRACTOR,Water,Top Coat,"Varnish, Exterior, Water Based, (Gloss) MPI Gloss Level 6",40,13.39,131,2212-MNF,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
29,BUSTERS,VALUE,Solvent,Top Coat,"Dry Fall, Alkyd, ('eggshell-like' - MPI Gloss Level 3)",5,13.59,43,2217-JOH,Interior,Newport,16,National Solubles Partners,NC,1618 CARIN PLACE,28570
35,LE MODE,PREMIUM,Solvent,Primer,"Primer, Vinyl Wash",5,7.59,68,2231-OXK,Interior,Westfield,14,Watkins Wholesale Warehouse,MA,632 GLENN NB ON MULDOON RAMP,1086
33,BINDER PRIME,PREMIUM,Water,Top Coat,"Light Industrial Coating, Exterior, Water Based, Gloss (MPI Gloss Level 6)",25,23.29,41,2233-GJH?,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
31,VALU-MATTE,VALUE,Solvent,Top Coat,"Vinyl, High Build",5,17.99,113,2262-NBI,Interior,Arlington,13,Boykin Chemical Workshop,VA,200 AERO AVENUE,22218
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Latex, Interior, Institutional Low Odor/VOC, ('satin-like' - MPI Gloss Level 4) ",5,29.99,89,2351-WVS,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,"Varnish, Interior, Polyurethane, Oil Modified, Gloss",25,6.59,3,2366-EFV,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Latex, Interior, ('satin-like' - MPI Gloss Level 4)",15,13.59,77,2379-PCX,Interior,Lake Lynn,3,Leal Decor Workshop,PA,1105 OLSON CIRCLE,15439
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,"Epoxy, High Build, Self Priming, Low Gloss",35,29.99,133,2384-PGY,Exterior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Light Industrial Coating, Interior, Water Based, Gloss (MPI Gloss Level 6)",10,15.59,6,2397-RDX,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
23,FORESTERS BEST,VALUE,Water,Top Coat,"Dry Fall, Latex, Flat",15,9.89,143,2407-SUX,Interior,Baltimore,8,Baltimore Paints Consolidated,MD,222 SEWARD 34TH RAMP,21222
27,HOME COMFORT,CONTRACTOR,Solvent,Top Coat,"Polyurethane, Two-Component, Pigmented, Gloss (MPI Gloss Level 6)",20,4.29,26,2410-SKH,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
27,HOME COMFORT,CONTRACTOR,Water,Primer,"Primer, Epoxy, Water Based, Anti-Corrosive, for Metal",15,38.99,86,2455-ZKN,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
33,BINDER PRIME,PREMIUM,Water,Top Coat,"Latex, Recycled (Remanufactured), Exterior, Low Sheen (G 3-4)",35,38.99,95,2496-QMW,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Dry Fall, Water Based, for Galvanized Steel, MPI Gloss Level 5",25,20.59,70,2553-FSW,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,"Stain, for Exterior Wood Decks",10,12.39,17,2584-CIJ,Exterior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
29,BUSTERS,VALUE,Solvent,Primer,"Primer, Alkali Resistant, Solvent Based",5,31.99,81,2611-QYG,Interior,South Miami,12,International Decor Partners,FL,355 WILDWOOD DRIVE,33143
27,HOME COMFORT,CONTRACTOR,Water,Top Coat,"Top-Coat for Multicolored Coating, Clear",40,35.99,59,2699-GNS,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Top Coat,"Alkyd, Interior, ('eggshell-like' - MPI Gloss Level 3) ",40,9.99,10,2756-CKP,Interior,Arlington,13,Boykin Chemical Workshop,VA,200 AERO AVENUE,22218
33,BINDER PRIME,PREMIUM,Solvent,Top Coat,"Aluminum Paint, High Heat (up to 590° C/1100° F)",10,32.99,20,2766-EYO,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
35,LE MODE,PREMIUM,Solvent,Primer,"Primer, Stain Blocking",15,32.99,129,2833-LIV,Exterior,Lake Lynn,3,Leal Decor Workshop,PA,1105 OLSON CIRCLE,15439
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Primer,"Primer, Stain Blocking",40,32.99,87,2857-NDO,Interior,Newport,16,National Solubles Partners,NC,1618 CARIN PLACE,28570
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,"Aluminum Paint, Heat Resistant (Up to 427°C - 800°F)",10,18.99,19,2866-RAM,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
29,BUSTERS,VALUE,Solvent,Top Coat,"Floor Coating, Thin Film, for Aircraft Maintenance Facilities",15,32.99,121,2870-QZR,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
23,FORESTERS BEST,VALUE,Solvent,Top Coat,"Water Repellant, Clear (Not Paintable)",5,23.99,70,2896-OZJ,Exterior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
23,FORESTERS BEST,VALUE,Solvent,Top Coat,"Alkyd, Exterior Flat (MPI Gloss Level 1)",15,10.99,127,2918-THH,Exterior,Beebe Plain,2,Warren Paints Consolidated,VT,377 LONGHORN STREET,5823
35,LE MODE,PREMIUM,Solvent,Top Coat,"Varnish, Interior, Flat ",15,13.59,61,2932-PBS,Interior,Brimstone Corners,18,Ledbetter Chemical of Vermont,VT,1174 SPRUCEWOOD STREET,5761
31,VALU-MATTE,VALUE,Solvent,Top Coat,"Polyurethane, Moisture Cured, Pigmented, Semi-Gloss (MPI Gloss Level 5)",20,16.99,139,2990-BNH,Exterior,Westfield,14,Watkins Wholesale Warehouse,MA,632 GLENN NB ON MULDOON RAMP,1086
27,HOME COMFORT,CONTRACTOR,Solvent,Top Coat,Multicolor Coating,25,23.59,32,2996-VMO,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
29,BUSTERS,VALUE,Solvent,Primer,"Primer, Galvanized, Non-Cementitious",30,15.69,37,3035-NHD,Exterior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
25,STUTTENFURST,CONTRACTOR,Solvent,Sealer,"Sealer, for Knots",5,3.99,65,3036-PCT,Exterior,Grand Ledge,7,Kenny Paints Workshop,MI,1286 RICHARD EVELYN BYRD STREET,48837
33,BINDER PRIME,PREMIUM,Solvent,Primer,"Primer, Bonding, Solvent Based",15,5.59,100,3061-DOI,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
35,LE MODE,PREMIUM,Solvent,Primer,"Primer, Zinc Rich, Inorganic",25,8.99,28,3079-DEG,Exterior,Arlington,13,Boykin Chemical Workshop,VA,200 AERO AVENUE,22218
29,BUSTERS,VALUE,Water,Top Coat,"Latex, Recycled (Remanufactured), Exterior Flat (G1)",5,38.99,61,3161-XJS,Exterior,Brimstone Corners,18,Ledbetter Chemical of Vermont,VT,1174 SPRUCEWOOD STREET,5761
35,LE MODE,PREMIUM,Solvent,Top Coat,"Top-Coat for Multicolored Coating, Clear",20,35.99,44,3215-VIP,Interior,Baltimore,8,Baltimore Paints Consolidated,MD,222 SEWARD 34TH RAMP,21222
33,BINDER PRIME,PREMIUM,Solvent,Top Coat,"Polyurethane, Moisture Cured, Pigmented, Semi-Gloss (MPI Gloss Level 5)",40,16.99,142,3258-RVB,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
25,STUTTENFURST,CONTRACTOR,Solvent,Filler,"Paste, Wood Filler",35,3.99,37,3274-XJX,Interior,S Plymouth,19,S Plymouth Solubles Workshop,NY,1874 LAWLOR CIRCLE,13844
30,LONG HAUL,CONTRACTOR,Solvent,Primer,"Primer, Zinc Rich, Moisture Cured",5,13.99,112,3298-YFL,Interior,Lake Lynn,3,Leal Decor Workshop,PA,1105 OLSON CIRCLE,15439
25,STUTTENFURST,CONTRACTOR,Solvent,Top Coat,"Epoxy, Gloss",25,7.79,56,3343-DJU,Exterior,Linden,17,Linden Consolidated,MI,1353 STEPHEN CIRCLE,48451
29,BUSTERS,VALUE,Water,Cleaner,"Cleaner, Etching, for Galvanized Metal",30,4.59,78,3384-DML,Interior,Lake Lynn,3,Leal Decor Workshop,PA,1105 OLSON CIRCLE,15439
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Top-Coat for Multicolored Coating, Clear",5,35.99,132,3393-AZQ,Exterior,Westfield,14,Watkins Wholesale Warehouse,MA,632 GLENN NB ON MULDOON RAMP,1086
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Latex, Exterior Semi-Gloss (MPI Gloss Level 5)",30,10.99,127,3488-GSE,Exterior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
33,BINDER PRIME,PREMIUM,Solvent,Primer,"Primer, Bonding, Solvent Based",25,5.59,87,3503-FGI,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
35,LE MODE,PREMIUM,Water,Top Coat,"Varnish, Exterior, Water Based, (Flat) MPI Gloss Level 1",15,12.59,7,3516-AGJ,Exterior,Linden,17,Linden Consolidated,MI,1353 STEPHEN CIRCLE,48451
31,VALU-MATTE,VALUE,Solvent,Primer,"Primer, Metal, Surface Tolerant",35,7.49,34,3528-GBV,Exterior,Pine Hill,6,Pine Hill Chemical Warehouse,PA,1777 EASTWIND COURT,17901
25,STUTTENFURST,CONTRACTOR,Solvent,Sealer,"Lacquer, Sanding Sealer, White",40,3.29,70,3561-LYU,Exterior,Beebe Plain,2,Warren Paints Consolidated,VT,377 LONGHORN STREET,5823
27,HOME COMFORT,CONTRACTOR,Solvent,Cleaner,"Linseed Oil, Boiled",15,12.99,129,3585-MCJ,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
27,HOME COMFORT,CONTRACTOR,Solvent,Primer,"Primer Sealer, Alkyd, Interior",15,7.39,80,3594-BYW,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
27,HOME COMFORT,CONTRACTOR,Water,Top Coat,"Traffic Marking Paint, Latex",10,18.59,123,3610-RKR,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
25,STUTTENFURST,CONTRACTOR,Water,Top Coat,"Latex, Exterior (MPI Gloss Level 2)",5,45.99,21,3614-PTT,Exterior,Huntington,9,Donahue Solubles of West Virginia,WV,382 FLORENCE CIRCLE,25700
27,HOME COMFORT,CONTRACTOR,Water,Top Coat,"Epoxy-Modified Latex, Interior, Semi-Gloss (MPI Gloss Level 5)",25,54.89,39,3694-XFJ,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
30,LONG HAUL,CONTRACTOR,Solvent,Sealer,"Sealer, Solvent Based, for Concrete Floors",15,20.59,109,3701-YAW,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Sealer,"Epoxy, Quick Set, Mason",20,14.99,75,3716-IWN,Exterior,Mt Blanchard,1,Mt Blanchard Solvents Supplies,OH,1625 BAY VIEW DRIVE,45867
23,FORESTERS BEST,VALUE,Solvent,Top Coat,"Acrylic Coating, High Build, for Pavement Marking",10,36.99,132,3716-WZD,Interior,Brookfield,10,Lambert Decor of New Hampshire,NH,1839 DEMEURE PLACE,3872
31,VALU-MATTE,VALUE,Solvent,Primer,"Primer, Galvanized Metal, Cementitious",10,14.89,119,3734-CUQ,Exterior,Brimstone Corners,18,Ledbetter Chemical of Vermont,VT,1174 SPRUCEWOOD STREET,5761
33,BINDER PRIME,PREMIUM,Water,Top Coat,"Floor Paint, Latex, Low Gloss ",10,21.99,70,3754-MAK,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
33,BINDER PRIME,PREMIUM,Water,Top Coat,"Latex, Recycled (Remanufactured), Interior (MPI Gloss Level 3)",10,41.99,105,3933-NSU,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
27,HOME COMFORT,CONTRACTOR,Solvent,Top Coat,Shellac,35,11.99,16,3943-HFA,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Water Repellant, Clear (Not Paintable)",15,23.99,130,3955-NWD,Interior,Rowsburg,15,Unlimited Wholesale of Ohio,OH,454 WINDJAMMER CIRCLE,44866
30,LONG HAUL,CONTRACTOR,Water,Primer,"Primer, Stain Blocking, Water Based",10,29.99,100,4045-HUC,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
23,FORESTERS BEST,VALUE,Solvent,Sealer,"Sealer, Solvent Based, for Concrete Floors",10,20.59,86,4072-SWV,Exterior,S Plymouth,19,S Plymouth Solubles Workshop,NY,1874 LAWLOR CIRCLE,13844
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Primer,"Primer, Oil for Exterior Wood",20,9.29,111,4132-QIN,Exterior,Arlington,13,Boykin Chemical Workshop,VA,200 AERO AVENUE,22218
33,BINDER PRIME,PREMIUM,Solvent,Top Coat,"Varnish, Polyurethane, Moisture Cured, Gloss (MPI Gloss Level 6)",25,17.79,30,4153-VMO,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
30,LONG HAUL,CONTRACTOR,Water,Top Coat,"Varnish, Water Based, Clear, Satin",5,14.59,7,4200-FTI,Interior,S Plymouth,19,S Plymouth Solubles Workshop,NY,1874 LAWLOR CIRCLE,13844
27,HOME COMFORT,CONTRACTOR,Solvent,Top Coat,"Varnish, Polyurethane, Moisture Cured, Flat (MPI Gloss Level 1)",40,13.59,49,4241-UOF,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
35,LE MODE,PREMIUM,Water,Top Coat,"Light Industrial Coating, Interior, Water Based ('eggshell-like' - MPI Gloss Level 3) ",40,15.59,97,4260-FGB,Interior,Brookfield,10,Lambert Decor of New Hampshire,NH,1839 DEMEURE PLACE,3872
27,HOME COMFORT,CONTRACTOR,Water,Primer,"Primer Sealer, Interior, Institutional Low Odor/VOC",5,18.59,68,4346-GCP,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
33,BINDER PRIME,PREMIUM,Solvent,Top Coat,"Stain, for Exterior Wood Decks",20,11.49,122,4431-LGU,Interior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
29,BUSTERS,VALUE,Water,Top Coat,Multicolor Coating,5,23.59,3,4465-QHD,Interior,Mt Blanchard,1,Mt Blanchard Solvents Supplies,OH,1625 BAY VIEW DRIVE,45867
27,HOME COMFORT,CONTRACTOR,Solvent,Primer,"Primer, Galvanized, Non-Cementitious",10,15.69,90,4481-SGY,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Top Coat,"Alkyd, Exterior, Semi-Gloss (MPI Gloss Level 5)",25,21.99,132,4491-GNC,Exterior,Mt Blanchard,1,Mt Blanchard Solvents Supplies,OH,1625 BAY VIEW DRIVE,45867
31,VALU-MATTE,VALUE,Water,Top Coat,"Elastomeric, Pigmented, Exterior, Water Based, Flat",35,21.99,36,4518-GHU,Exterior,Newport,16,National Solubles Partners,NC,1618 CARIN PLACE,28570
28,OLDE TYME QUALITY,CONTRACTOR,Water,Top Coat,"Latex, Interior, High Performance Architectural, Semi-Gloss (MPI Gloss Level 5)",30,34.49,42,4583-VCR,Interior,Grand Ledge,7,Kenny Paints Workshop,MI,1286 RICHARD EVELYN BYRD STREET,48837
28,OLDE TYME QUALITY,CONTRACTOR,Solvent,Filler,"Block Filler, Epoxy",35,7.79,82,4626-LJU,Interior,Lake Lynn,3,Leal Decor Workshop,PA,1105 OLSON CIRCLE,15439
35,LE MODE,PREMIUM,Solvent,Cleaner,Danish Oil,15,3.49,79,4667-JLN,Interior,Sweek Hollow,5,National Wholesale Consolidated,VT,1185 BIGLERVILLE CIRCLE,5483
30,LONG HAUL,CONTRACTOR,Solvent,Top Coat,"Lacquer, Clear, Flat",15,14.99,14,4784-SLU,Interior,Irvington,20,Irvington Wholesale Workshop,KY,527 ELDERBERRY STREET,40146
27,HOME COMFORT,CONTRACTOR,Water,Primer,"Primer, Alkali Resistant, Water Based",10,9.99,128,4812-CMJ,Interior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
27,HOME COMFORT,CONTRACTOR,Water,Top Coat,"Varnish, Exterior, Water Based, (Velvet-Like) MPI Gloss Level 2",40,12.99,42,4812-VNN,Exterior,Cross Jct,21,Internation Solvents of Virginia,VA,1492 AUSTIN AVENUE,22625
33,BINDER PRIME,PREMIUM,Solvent,Top Coat,"Preservative, for Exterior Wood",40,4.49,88,4846-BHT,Exterior,Orchard Lake,22,Rivera Decor Partners,MI,1404 SEWARD NB ON TUDOR RAMP,48324
31,VALU-MATTE,VALUE,Water,Top Coat,"Latex, Recycled (Remanufactured), Interior (MPI Gloss Level 1)",20,41.99,107,4879-AMS,Interior,Westfield,14,Watkins Wholesale Warehouse,MA,632 GLENN NB ON MULDOON RAMP,1086
28,OLDE TYME QUALITY,CONTRACTOR,Water,Cleaner,"Cleaner, Etching, for Galvanized Metal",20,4.59,121,4900-YSQ,Exterior,Beebe Plain,2,Warren Paints Consolidated,VT,377 LONGHORN STREET,5823
35,LE MODE,PREMIUM,Water,Top Coat,"Varnish, Exterior, Water Based, (Eggshell-like) MPI Gloss Level 3",30,12.99,123,4912-YXS,Exterior,Pine Hill,6,Pine Hill Chemical Warehouse,PA,1777 EASTWIND COURT,17901
23,FORESTERS BEST,VALUE,Solvent,Primer,"Undercoat, Enamel, Interior",20,8.49,20,4949-VFI,Interior,Grand Ledge,7,Kenny Paints Workshop,MI,1286 RICHARD EVELYN BYRD STREET,48837
